Year,Month,Day,AreaCode,CatchKG,DiscardedKG,Vessel_ID
2014,10,10,3,,,23734
2014,10,10,4,,,23734
2014,10,10,6,,,30015
2014,10,10,7,,,30897
2014,10,9,3,8.89,0,20093
2014,10,9,3,,12.7,310988
2014,10,9,3,,4.08,312275
2014,10,9,4,,,23734
2014,10,9,4,,,24208
2014,10,9,4,,,25060
2014,10,9,4,,,310026
2014,10,9,4,,,311875
2014,10,9,6,,,23386
2014,10,9,6,,680.39,29923
2014,10,9,9,,,24013
2014,10,8,3,,,21933
2014,10,8,3,,372.4,22954
2014,10,8,3,,2.72,310988
2014,10,8,3,,11.34,312275
2014,10,8,4,,,23734
2014,10,8,4,,,24208
2014,10,8,4,,,25060
2014,10,8,4,,,310026
2014,10,8,4,,,311875
2014,10,8,5,,1503.65,20513
2014,10,8,5,,,24477
2014,10,8,5,,,25077
2014,10,8,5,,,25320
2014,10,8,5,,1568.06,29923
2014,10,8,6,,1353.97,20513
2014,10,8,6,,,23386
2014,10,8,6,,,25536
2014,10,8,6,,1828.42,29923
2014,10,8,8,,,25343
2014,10,8,9,,,24013
2014,10,7,3,,45.36,22954
2014,10,7,3,,214.55,312405
2014,10,7,4,,0.91,21838
2014,10,7,4,,,25060
2014,10,7,4,,,310026
2014,10,7,4,,,311875
2014,10,7,5,,251.75,23291
2014,10,7,5,,,23734
2014,10,7,5,,,24220
2014,10,7,5,,,24477
2014,10,7,5,,,25077
2014,10,7,5,,,25204
2014,10,7,5,,,25320
2014,10,7,5,,,28120
2014,10,7,6,,,23285
2014,10,7,6,,269.89,23291
2014,10,7,6,,,24869
2014,10,7,6,,,25536
2014,10,7,6,,4227.02,29923
2014,10,7,7,,36.28,25278
2014,10,7,8,,,25343
2014,10,7,8,,,25383
2014,10,7,8,,,25688
2014,10,7,8,,,25856
2014,10,7,8,4913.77,,25869
2014,10,7,8,,2685.27,29518
2014,10,7,8,,,311405
2014,10,7,9,,,24013
2014,10,6,3,,90.72,22954
2014,10,6,3,,33.56,29560
2014,10,6,3,40.62,,29568
2014,10,6,3,,,310026
2014,10,6,3,,23.13,310988
